1,97,Web site hit
1,171,dynamic
1,826,dynamic
1,827,dynamic
1,828,dynamic
1,829,dynamic
1,830,dynamic
1,831,dynamic
1,840,dynamic
1,841,dynamic
1,842,dynamic
1,872,dynamic
1,1079,dynamic
1,1107,dynamic
1,1028,Auto-dial failed: Current Connection Model is configured as Ethernet Only
1,333,Ethernet Port Down
1,332, Ethernet Port Up
1,1082, is operational.
1,1083, is unavailable.
1,1,Dumped to email at
1,3,*** Alert from SonicWALL***
1,26,[not found in tip]
1,176,[not found in tip]
1,496,SonicWALL Registration Update Needed:
1,1017,3G device detected
1,1026,3G Dial-up:
1,1027,3G Dial-up:data usage limit reached for the  billing cycle. Disconnecting 3G session.
1,1055,3G: No SIM detected
1,518,802.11Management
1,572,A priorversion of preferences was loaded because the most recent preferences file wasinaccessible
1,611,A SonicOS Standard to Enhanced Upgrade was performed
1,761,Access attempt from host out of compliance with GSC policy
1,123,Access attempt from host without Anti-Virus agent installed
1,763,Access attempt from host without GSC installed
1,440,Access rule added
1,442,Access rule deleted
1,441,Access rule modified
1,443,Access rules restored to defaults
1,60,Access to proxy server denied
1,154,Active Backup detects Active Primary: Backup going Idle
1,18,ActiveX access denied
1,20,ActiveX or Java archive access denied
1,769,ADConnector  response timed-out- applying caching policy
1,143,Add an attack message
1,911,Added host entry to dynamic address object
1,813,Adding Dynamic Entry for Bound MAC Address
1,603,Adding L2TP IP pool Address object Failed.
1,697,Adding to multicast policyList  interface : 
1,699,Adding to Multicast policyList  VPN SPI : 
1,261,Administrator logged out
1,262,Administrator logged out - inactivity timer expired
1,29,Administrator login allowed
1,30,Administrator login denied due to bad credentials
1,35,Administrator login denied from - logins disabled from this interface
1,328,Administrator name changed
1,783,All DDNS associations have been deleted
1,574,All preference values have been set to factory default values
1,752,Allowed LDAP server certificate with wrong host name
1,1085,Anti-Spam service is disabled by administrator.
1,1084,Anti-Spam service is enabled by administrator.
1,1088,Anti-Spam Startup Failure - 
1,1089,Anti-Spam Teardown Failure - 
1,795,Anti-Spyware Detection Alert: 
1,794,Anti-Spyware Prevention Alert: 
1,796,Anti-Spyware Service Expired
1,124,Anti-Virus agent out-of- date on host
1,408,Anti-Virus Licenses Exceeded
1,650,Application Filter Detection Alert: 
1,649,Application Filters Block Alert: 
1,793,Application Firewall Alert: 
1,717,ARP request packet received
1,715,ARP request packet sent
1,716,ARP response packet received
1,718,ARP response packet sent
1,45,ARP timeout
1,816,ARP unused/ spare
1,843,ARS unused/ spare
1,844,ARS unused/ spare
1,845,ARS unused/ spare
1,846,ARS unused/ spare
1,1110,Assigned IP address 
1,548,Association Flood from WLAN station
1,821,Authenticatio n timeout during Remotely Triggered Dial-out session
1,126,AV unused/ spare
1,73,Back Orifice attack dropped
1,825,Backup active
1,152,Backup firewall being preempted by Primary
1,145,Backup firewall has transitioned to Active
1,147,Backup firewall has transitioned to Idle
1,1059,Backup firewall rebooting itself as it transitioned from Active to Idle while Preempt
1,170,Backup going Active in preempt mode after reboot
1,149,Backup missed heartbeats from Primary
1,151,Backup received error signal from Primary
1,161,Backup received heartbeat from wrong source
1,672,Backup received reboot signal from Primary
1,824,Backup shut down because license is expired
1,219,Backup WAN link down Primary going Active
1,823,Backup will be shut down in  minutes
1,277,Bad CRL format
1,1009,Bind to LDAP server failed
1,505,Blocked Quick Mode for Client using Default KeyId
1,619,BOOTP Client IP address on LAN conflicts with remote device IP deleting IP address from remote table
1,620,BOOTP reply relayed to local device
1,621,BOOTP Request received from remote device
1,618,BOOTP server response relayed to remote device
1,46,Broadcast packet dropped
1,274,Cannot connect to the CRL server
1,878,Cannot Validate Issuer Path
1,485,Category:
1,279,Certificate on Revoked list(CRL)
1,268,CFL auto- download disabled time problem detected
1,1022,Chat 
1,1020,Chat completed
1,1023,Chat failed: 
1,1019,Chat started
1,1032,Chat started by 
1,1021,Chat wrote 
1,520,CLI administrator logged out
1,199,CLI administrator login allowed
1,200,CLI administrator login denied due to bad credentials
1,54,Code:
1,410,Computed hash does not match hash received from peer- preshared key mismatch
1,995,Configuration mode administratio n session ended
1,994,Configuration mode administratio n session started
1,537,Connection Closed
1,98,Connection Opened
1,273,Connection timed out
1,197,Content filter subscRIPtion expired.
1,21,Cookie removed
1,874,CRL has expired
1,270,CRL loaded from
1,876,CRL missing - Issuer requires CRL checking.
1,877,CRL validation failure for Root Certificate
1,360,Crypto DES test failed
1,361,Crypto DH test failed
1,367,Crypto hardware 3DES test failed
1,369,Crypto Hardware 3DES with SHA test failed
1,610,Crypto Hardware AES test failed
1,366,Crypto hardware DES test failed
1,368,Crypto hardware DES with SHA test failed
1,362,Crypto Hmac-MD5 fest failed
1,363,Crypto Hmac-Sha1 test failed
1,370,Crypto MD5 test failed
1,364,Crypto RSA test failed
1,1060,Crypto SHA1 based DRNG KAT test failed
1,365,Crypto Sha1 test failed
1,1109,CSR Generation: 
1,781,DDNS association  disabled
1,780,DDNS association  enabled
1,779,DDNS association  added
1,784,DDNS association  deactivated
1,785,DDNS association  deleted
1,782,DDNS Association  put on line
1,778,DDNS association  taken Offline locally
1,774,DDNS Failure: Provider 
1,775,DDNS Failure: Provider 
1,773,DDNS Failure: Provider 
1,776,DDNS Update success for domain 
1,777,DDNS Warning: Provider 
1,698,Deleting from Multicast policy list interface : 
1,700,Deleting from Multicast policy list VPN SPI : 
1,92,Deleting IPsec SA
1,91,Deleting IPsec SA for destination
1,735,Destination IP address connection status: 
1,57,Destination:
1,504,DHCP client enabled but not ready
1,109,DHCP Client did not get DHCP ACK.
1,119,DHCP Client failed to verify and lease has expired. Go to INIT state.
1,120,DHCP Client failed to verify and lease is still valid. Go to BOUND state.
1,121,DHCP Client got a new IP address lease.
1,111,DHCP Client got ACK from server.
1,110,DHCP Client got NACK.
1,112,DHCP Client is declining address offered by the server.
1,113,DHCP Client sending REQUEST and going to REBIND state.
1,114,DHCP Client sending REQUEST and going to RENEW state.
1,475,DHCP DECLINE received from remote device
1,479,DHCP DISCOVER received from local device
1,474,DHCP DISCOVER received from remote device
1,228,DHCP lease dropped. Lease from Central Gateway conflicts with Relay IP
1,484,DHCP lease dropped. Lease from Central Gateway conflicts with Remote Management IP
1,833,DHCP lease file in the flash is corrupted- read failed
1,223,DHCP lease relayed to local device
1,225,DHCP lease relayed to remote device
1,226,DHCP lease to LAN device conflicts with remote device deleting remote IP entry
1,835,DHCP leases written to flash
1,477,DHCP NACK received from server
1,476,DHCP OFFER received from server
1,832,DHCP Ranges altered automatically due to change in network settings for interface 
1,224,DHCP RELEASE received from remote device
1,222,DHCP RELEASE relayed to Central Gateway
1,480,DHCP REQUEST received from local device
1,473,DHCP REQUEST received from remote device
1,106,DHCP Server not available. Did not get any DHCP OFFER.
1,1072,DHCP Server sanity check failed 
1,1071,DHCP Server sanity check passed 
1,1040,DHCP Server: IP conflict detected
1,1041,DHCP Server: Received DHCP decline from client
1,1090,DHCP Server: Received DHCP message from untrusted relay agent
1,1046,Diagnostic Auto-restart canceled
1,1045,Diagnostic Auto-restart scheduled for  minutes from now
1,93,Diagnostic Code A
1,94,Diagnostic Code B
1,95,Diagnostic Code C
1,64,Diagnostic Code D
1,61,Diagnostic Code E
1,164,Diagnostic Code F
1,599,Diagnostic Code G
1,600,Diagnostic Code H
1,601,Diagnostic Code I
1,1025,Diagnostic Code J
1,1039,Dial-up: Session initiated by data packet
1,1038,Dial-up: Traffic generated by 
1,215,Disconnectin g L2TP Tunnel due to traffic timeout
1,168,Disconnectin g PPPoE due to traffic timeout
1,389,Disconnectin g PPTP Tunnel due to traffic timeout
1,1044,Discovered HA  Firewall
1,156,Discovered HA Backup Firewall
1,602,DNS packet allowed
1,1099,DNS rebind attack blocked
1,662,Drop WLAN traffic from non- SonicPoint devices
1,51,Duplicate packet dropped
1,62,Dynamic IPsec client connected
1,714,EIGRP packet dropped
1,437,E-Mail fragment dropped
1,359,Entering FIPS ERROR state
1,497,Entering FIPS Error State.
1,374,Error initializing Hardware acceleration for VPN
1,669,Error Rebooting HA Peer Firewall
1,191,Error setting the IP address of the backup please manually set to backup LAN IP
1,158,Error synchronizing HA peer firewall ()
1,192,Error updating HA peer configuration
1,478,ERROR: DHCP over VPN policy is not defined. Cannot start IKE.
1,703,Exceeded Max multicast address limit
1,1069,External Web Server Host Resolution Failed 
1,405,Failed payload validation
1,404,Failed payload verification after decryption- possible preshared key mismatch
1,875,Failed to find certificate
1,271,Failed to get CRL from
1,276,Failed to Process CRL from
1,84,Failed to resolve name
1,1066,Failed to send file to remote backup server Error: 
1,1062,Failed to send Preference file to remote backup server Error: 
1,1064,Failed to send TSR file to remote backup server Error: 
